Client,Received,Stream Tag,Cuid,Sch_Code,AnalyteCode,Result,AnaUnitCode,AnalyteStatus,LFL,LWL,ExpectedValue,UWL,UFL,Exported
AMIS0463,,,,,,,,,,,,,,
WS_SMR,9/7/2023 9:12,AMIS0463,8916934,ICP_CBM_B,CR,1.32,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916934,ICP_CBM_B,CR2O3,1.93,%,CPL,,,,,,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916934,ICP_CBM_B,CU,8.15,%,CPL,7.98,8.064110032,8.21,8.064110032,8.44,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916930,ICP_CBM_A,CO,0.292,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916934,ICP_CBM_B,NI,11.81,%,CPL,11.17,11.37113269,11.72,11.37113269,12.27,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916934,ICP_CBM_B,FE,32.89,%,CPL,31.02,31.87572816,33.36,31.87572816,35.7,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916930,ICP_CBM_A,CR2O3,1.905,%,CPL,,,,,,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916930,ICP_CBM_A,FE,32.63,%,CPL,31.02,31.87572816,33.36,31.87572816,35.7,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916930,ICP_CBM_A,NI,11.51,%,CPL,11.17,11.37113269,11.72,11.37113269,12.27,9/8/2023 7:20
WS_SMR,9/7/2023 9:14,AMIS0463,8916939,ICP_CPGM_A,AU,12.7025,PPM,CPL,11.95,12.25718447,12.79,12.25718447,13.62,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916939,ICP_CPGM_A,PD,140.3819,PPM,CPL,135.52,137.5825243,141.16,137.5825243,146.79,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916944,ICP_CPGM_B,PD,145.5575,PPM,QWH,135.52,137.5825243,141.16,137.5825243,146.79,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916944,ICP_CPGM_B,RH,20.0579,PPM,QWH,18.44,18.79106796,19.4,18.79106796,20.35,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916944,ICP_CPGM_B,RU,30.4036,PPM,QFH,27.07,27.47226537,28.17,27.47226537,29.26,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916939,ICP_CPGM_A,IR,6.2255,PPM,QWH,5.3,5.475533981,5.78,5.475533981,6.26,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916939,ICP_CPGM_A,RU,29.0059,PPM,QWH,27.07,27.47226537,28.17,27.47226537,29.26,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916939,ICP_CPGM_A,PT,120.7207,PPM,QWL,120.05,122.1527508,125.8,122.1527508,131.55,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916944,ICP_CPGM_B,AU,13.2281,PPM,CPL,11.95,12.25718447,12.79,12.25718447,13.62,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916944,ICP_CPGM_B,PT,125.3149,PPM,CPL,120.05,122.1527508,125.8,122.1527508,131.55,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916944,ICP_CPGM_B,IR,6.589,PPM,QFH,5.3,5.475533981,5.78,5.475533981,6.26,9/8/2023 7:50
WS_SMR,9/7/2023 9:14,AMIS0463,8916939,ICP_CPGM_A,RH,19.289,PPM,CPL,18.44,18.79106796,19.4,18.79106796,20.35,9/8/2023 7:50
WS_SMR,7/18/2023 19:29,AMIS0463,8909532,ICP_CBM_B,CR2O3,1.926,%,CPL,,,,,,7/19/2023 10:02
WS_SMR,7/18/2023 19:29,AMIS0463,8909532,ICP_CBM_B,FE,32.98,%,CPL,31.02,31.87572816,33.36,31.87572816,35.7,7/19/2023 10:02
WS_SMR,7/18/2023 19:28,AMIS0463,8909527,ICP_CBM_A,CO,0.28,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,7/19/2023 10:02
WS_SMR,7/18/2023 19:28,AMIS0463,8909527,ICP_CBM_A,CR,1.29,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,7/19/2023 10:02
WS_SMR,7/18/2023 19:28,AMIS0463,8909527,ICP_CBM_A,FE,31.88,%,CPL,31.02,31.87572816,33.36,31.87572816,35.7,7/19/2023 10:02
WS_SMR,7/18/2023 19:29,AMIS0463,8909532,ICP_CBM_B,CO,0.299,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,7/19/2023 10:02
